,PRICE
PRICE,1.0
CONSTRUCTEDAREA,0.855790378698813
BATHNUMBER,0.711546777131562
UNITPRICE,0.5898625325564212
ROOMNUMBER,0.4529935326847094
HASDOORMAN,0.3442138336222025
HASLIFT,0.3151475698643078
LATITUDE,0.2623963944124933
HASBOXROOM,0.22179243012997474
ISPARKINGSPACEINCLUDEDINPRICE,0.21563771249270955
HASPARKINGSPACE,0.21563771249270955
FLOORCLEAN,0.17588793845204656
CADMAXBUILDINGFLOOR,0.16433492810059164
HASAIRCONDITIONING,0.1470918059818596
HASWARDROBE,0.13976578477838425
HASSWIMMINGPOOL,0.10067074925343329
HASWESTORIENTATION,0.09453830058120015
HASSOUTHORIENTATION,0.08195450559902419
HASGARDEN,0.06934734924412687
HASTERRACE,0.06403745289255197
BUILTTYPEID_2,0.059347461890336524
ISDUPLEX,0.05901270968971126
HASEASTORIENTATION,0.052997038360832444
PARKINGSPACEPRICE,0.050550742298426314
HASNORTHORIENTATION,0.04609064267316903
ISINTOPFLOOR,0.027582633749406577
BUILTTYPEID_1,0.01272282631010514
CADDWELLINGCOUNT,-0.0005008721982245869
AMENITYID,-0.013868119787638963
DISTANCE_TO_METRO,-0.025355323268819167
LONGITUDE,-0.03509024432688097
CONSTRUCTIONYEAR,-0.05670981786381515
BUILTTYPEID_3,-0.06136621194612857
ISSTUDIO,-0.07154827247081877
CADCONSTRUCTIONYEAR,-0.07418192086182321
FLATLOCATIONID,-0.1080697620537635
DISTANCE_TO_CITY_CENTER,-0.2262358974347228
DISTANCE_TO_CASTELLANA,-0.29251999323392475
CUSEC,-0.30530843784274464
CADASTRALQUALITYID,-0.45416724153987875
