,count,mean,std,min,25%,50%,75%,max,missing,missing_percentage
PRICE,75803.0,389546.7065947258,413099.5893848337,21000.0,157000.0,257000.0,457000.0,8133000.0,0,0.0
UNITPRICE,75803.0,3641.6130330442625,1712.9503437537446,805.309734513274,2206.781609195405,3448.27586206897,4734.04255319149,9997.56097560976,0,0.0
CONSTRUCTEDAREA,75803.0,100.2500560663826,66.46975195693533,21.0,62.0,82.0,115.0,985.0,0,0.0
ROOMNUMBER,75803.0,2.570940464097727,1.2478168458335868,0.0,2.0,3.0,3.0,93.0,0,0.0
BATHNUMBER,75803.0,1.5707689669274303,0.8363580971004879,0.0,1.0,1.0,2.0,20.0,0,0.0
HASTERRACE,75803.0,0.35018402965581835,0.4770305828747123,0.0,0.0,0.0,1.0,1.0,0,0.0
HASLIFT,75803.0,0.6893262799625345,0.4627724980076505,0.0,0.0,1.0,1.0,1.0,0,0.0
HASAIRCONDITIONING,75803.0,0.43872933788900176,0.4962349791232921,0.0,0.0,0.0,1.0,1.0,0,0.0
AMENITYID,75803.0,2.9272060472540664,0.30875809424247164,1.0,3.0,3.0,3.0,3.0,0,0.0
HASPARKINGSPACE,75803.0,0.21761671701647692,0.41262807418076136,0.0,0.0,0.0,0.0,1.0,0,0.0
ISPARKINGSPACEINCLUDEDINPRICE,75803.0,0.21761671701647692,0.41262807418076136,0.0,0.0,0.0,0.0,1.0,0,0.0
PARKINGSPACEPRICE,75803.0,666.1539516905664,7747.994435116375,1.0,1.0,1.0,1.0,925001.0,0,0.0
HASNORTHORIENTATION,75803.0,0.10460008179095814,0.306039442316321,0.0,0.0,0.0,0.0,1.0,0,0.0
HASSOUTHORIENTATION,75803.0,0.23127053019009802,0.42164774093476354,0.0,0.0,0.0,0.0,1.0,0,0.0
HASEASTORIENTATION,75803.0,0.19615318654934502,0.39708839579368943,0.0,0.0,0.0,0.0,1.0,0,0.0
HASWESTORIENTATION,75803.0,0.14272522195691464,0.3497947213870016,0.0,0.0,0.0,0.0,1.0,0,0.0
HASBOXROOM,75803.0,0.2499901059324829,0.4330098455608089,0.0,0.0,0.0,0.0,1.0,0,0.0
HASWARDROBE,75803.0,0.5637111987652204,0.49592754276100787,0.0,0.0,1.0,1.0,1.0,0,0.0
HASSWIMMINGPOOL,75803.0,0.14214476999591044,0.3492008634275917,0.0,0.0,0.0,0.0,1.0,0,0.0
HASDOORMAN,75803.0,0.24827513422951597,0.432015108631227,0.0,0.0,0.0,0.0,1.0,0,0.0
HASGARDEN,75803.0,0.17668166167565927,0.38140158772506955,0.0,0.0,0.0,0.0,1.0,0,0.0
ISDUPLEX,75803.0,0.02528923657375038,0.15700323650326767,0.0,0.0,0.0,0.0,1.0,0,0.0
ISSTUDIO,75803.0,0.027070168726831392,0.16228900807366395,0.0,0.0,0.0,0.0,1.0,0,0.0
ISINTOPFLOOR,75803.0,0.021542683007268842,0.14518565318418727,0.0,0.0,0.0,0.0,1.0,0,0.0
CONSTRUCTIONYEAR,30229.0,1964.35581726157,55.93663261925716,1.0,1955.0,1968.0,1986.0,2291.0,45574,60.121631070010416
FLOORCLEAN,72689.0,2.745119619199604,2.2532866375929523,-1.0,1.0,2.0,4.0,11.0,3114,4.108016833106869
FLATLOCATIONID,70641.0,1.1377387069831968,0.344627968798066,1.0,1.0,1.0,1.0,2.0,5162,6.8097568697808795
CADCONSTRUCTIONYEAR,75803.0,1965.465918235426,28.92168293335545,1623.0,1955.0,1967.0,1983.0,2018.0,0,0.0
CADMAXBUILDINGFLOOR,75803.0,6.360671741223962,2.8428660675164004,0.0,5.0,6.0,8.0,26.0,0,0.0
CADDWELLINGCOUNT,75803.0,38.7166470983998,53.31992217476772,1.0,12.0,21.0,39.0,1499.0,0,0.0
CADASTRALQUALITYID,75802.0,4.869752776971584,1.4602062644115474,0.0,4.0,5.0,6.0,9.0,1,0.0013192090022822317
BUILTTYPEID_1,75803.0,0.031872089495138714,0.17566065714972848,0.0,0.0,0.0,0.0,1.0,0,0.0
BUILTTYPEID_2,75803.0,0.18677361054311833,0.3897322577239681,0.0,0.0,0.0,0.0,1.0,0,0.0
BUILTTYPEID_3,75803.0,0.781354299961743,0.41333039043389375,0.0,1.0,1.0,1.0,1.0,0,0.0
DISTANCE_TO_CITY_CENTER,75803.0,4.476751222329751,2.6713276771878762,0.0153741432534677,2.4036533586698114,4.114289769553169,6.219253216756432,14.1588142264487,0,0.0
DISTANCE_TO_METRO,75803.0,0.470108138107675,0.5951710705968358,0.0014160886550168,0.21275473496940372,0.3300152438286532,0.5191779597351169,9.344541353666406,0,0.0
DISTANCE_TO_CASTELLANA,75803.0,2.6758775139234343,2.1995320321095875,0.0014350974069677,1.0404804362709348,1.962047079202316,3.8541591943585214,12.577822075630692,0,0.0
LONGITUDE,75803.0,-3.68631350382671,0.03892306596554672,-3.83253386906025,-3.708306807450335,-3.69397119817579,-3.66615710383349,-3.54081368542971,0,0.0
LATITUDE,75803.0,40.420694406589256,0.03348340080414841,40.3286822175536,40.3965123931156,40.4230312552833,40.44125112024665,40.5206368407079,0,0.0
CUSEC,75735.0,2807908959.08296,5791.987026004185,2807901001.0,2807904057.0,2807908119.0,2807913184.0,2807921030.0,68,0.08970621215519176
