Feature,With_Feature_Avg,Without_Feature_Avg,Price_Difference,Percentage_Difference
HASLIFT,476945.553365357,195625.1804670913,281320.3728982657,143.80580875455874
HASDOORMAN,636971.4133900106,307828.77349384903,329142.63989616156,106.92393571932885
HASPARKINGSPACE,558450.8365664403,342566.71219248994,215884.12437395036,63.01958616826844
HASBOXROOM,548244.4327176781,336650.2559231703,211594.17679450783,62.85281923053029
ISDUPLEX,540891.4971309338,385620.00920336734,155271.48792756646,40.26541263985079
HASAIRCONDITIONING,458273.83708692907,335824.66036760213,122449.17671932693,36.46223496073546
HASWARDROBE,440340.5958203646,323917.96686018386,116422.62896018074,35.94201028386717
HASSWIMMINGPOOL,491710.44083526684,372618.39515285724,119092.0456824096,31.96086055642935
ISINTOPFLOOR,466337.4157991427,387856.00647161924,78481.40932752343,20.234676791905294
HASGARDEN,451386.7692077951,376276.01345938153,75110.75574841356,19.96161143992817
HASTERRACE,425582.40723300056,370127.1671606643,55455.24007233628,14.982753224451734
ISSTUDIO,212353.80116959065,394476.8070941411,-182123.00592455044,-46.16824174433331
